BOOKNO,isbnno,btitle,bstory,bwriter,bpub,bprice,bdate
1,9791162996522 ,1퍼센트를 읽는 힘  ,"일잘러 대기업 직원이 알려주는 오피스 프로그램 실전 활용 노하우 문서 작성, 프레젠테이션 작성, 표와 그래프 차트 작성 등 우리가 업무 중에 마이크로소프트 오피스 프로그램을 활용해 해야 하는 작업은 수도 없이 많다. 그리고 이런 작업은 매크로, 단축키, 서식 등의 기능을 활용하는 것으로 작업시간을 대폭 단축시킬 수 있다. 이 책은 앞서 언급한 기능들 중에서도 보고서 양식 맞추기, 표 작성 등 업무 중 마주하게 될 반복 작업들을 빨리 해결할 수 있도록 도와줄 오피스 프로그램의 기능들에 대해 설명한다. 워드에서 보고서의 체계를 잡기 위해 활용하는 스타일 기능과 단축키, 표로 이루어져 있는 엑셀에서 활용하는 표 지정 기능과 각종 함수, 오피스 프로그램에서 지원하는 매크로 기능의 설정 및 활용 등 숙달되면 작업시간을 대폭으로 줄여주는 기능들을 알기 쉽게 풀어준다.",이주석,북랩,"10,800원 ",2019.05.10.
2,9788993285048 ,슈퍼노멀  ,"광고계, 무림에서 찾아낸 천재 소녀에 깜짝 놀라다 학벌 지상주의 사회인 한국에서 아무런 백도 없이 광고계의 기라성 같은 선배들을 반하게 만든 저자는 업계의 쟁쟁한 선배들로부터 ‘프로도 반한 아마추어’라는 최고의 찬사를 받으며 화제를 불러일으키며 등장했다. 박신영 저자가 최고의 칭호를 얻을 수 있었던 이유는 그녀의 ‘삽질정신’에 기인한다. 저자에게 “삽질정신이란 아무것도 없는 상황에서 하기로 한 일, 하고 싶은 일은 남들이 뭐라고 하든 환경이 어떠하든 될 때까지 파는 묵묵한 정신, 한 번 시작하면 깊게 파는 프로 정신이다.” 목표를 정하고 대학 2학년 때부터 묵묵히 한우물만 판 저자의 ‘삽질’이 결국 지금의 결실을 만들어냈다. 책 속에는 그녀를 ‘전설의 공모전 여왕’으로 만들어준 기획 노하우와 함께 무식해서 더욱 용감했던 그녀의 열정이 고스란히 담겨있다. 기획과 인생에 있어서 스타일과 센스는 죽어도 포기 못한다는 그녀의 고집만큼 발랄한 센스와 스타일이 살아 있는 기획서, 그리고 톡톡 튀는 젊은 감각을 엿볼 수 있다. 구슬을 꿰듯 한 가지 주제로 기획을 엮여내는 그녀의 실력에 또 그녀의 열정에 아마추어든 프로든 모두 반할 수밖에 없다.",박신영,다산북스,"5,400원 ",2008.08.08.
3,9791158390396 ,지리의 힘  ,를 정하고 대학 2학년 때부터 묵묵히 한우물만 판 저자의 ‘삽질’이 결국 지금의 결실을 만들어냈다.,이지쌤,위키북스,"16,200원 ",2016.06.29.
4,9788959794331 ,新海誠監督作品 すずめの戶締まり 公式ビジュアルガイド  ,"책 속에는 그녀를 ‘전설의 공모전 여왕’으로 만들어준 기획 노하우와 함께 무식해서 더욱 용감했던 그녀의 열정이 고스란히 담겨있다. 기획과 인생에 있어서 스타일과 센스는 죽어도 포기 못한다는 그녀의 고집만큼 발랄한 센스와 스타일이 살아 있는 기획서, 그리고 톡톡 튀는 젊은 감각을 엿볼 수 있다. 구슬을 꿰듯 한 가지 주제로 기획을 엮여내는 그녀의 실력에 또 그녀의 열정에 아마추어든 프로든 모두 반할 수밖에 없다",잭 챌로너,Gbrain,"19,800원 ",2015.11.01.
5,9788995523308 ,Diary of a Wimpy Kid #1  ,"문서 작성, 프레젠테이션 작성, 표와 그래프 차트 작성 등 우리가 업무 중에 마이크로소프트 오피스 프로그램을 활용해 해야 하는 작업은 수도 없이 많다. 그리고 이런 작업은",김효준,지혜,,2004.05.01.
6,9791165227111 ,퓨처 셀프  ,를 정하고 대학 2학년 때부터 묵묵히 한우물만 판 저자의 ‘삽질’이 결국 지금의 결실을 만들어냈다.,잔마왕,유페이퍼,,2020.05.12.
7,9788963720326 ,신들은 죽임당하지 않을 것이다  ,"책 속에는 그녀를 ‘전설의 공모전 여왕’으로 만들어준 기획 노하우와 함께 무식해서 더욱 용감했던 그녀의 열정이 고스란히 담겨있다. 기획과 인생에 있어서 스타일과 센스는 죽어도 포기 못한다는 그녀의 고집만큼 발랄한 센스와 스타일이 살아 있는 기획서, 그리고 톡톡 튀는 젊은 감각을 엿볼 수 있다. 구슬을 꿰듯 한 가지 주제로 기획을 엮여내는 그녀의 실력에 또 그녀의 열정에 아마추어든 프로든 모두 반할 수밖에 없다",이상석,박재동,,
8,9788979145120 ,이승만의 토지개혁과 교육혁명  ,"데이터가 입력된 줄 다음 줄의 B열에 값이 없으면 멈추지만, 다른 값이 있으면 그값으로 다시 검색을 시작, ",임백준,한빛미디어,,2007.09.06.
9,9791155855089 ,도시와 그 불확실한 벽  ,엉뚱한 값으로 프로그램이 동작 하기 시작합니다,서상국,북랩,"13,500원 ",2015.03.12.
10,9788998139582 ,도시와 그 불확실한 벽  ,"문서 작성, 프레젠테이션 작성, 표와 그래프 차트 작성 등 우리가 업무 중에 마이크로소프트 오피스 프로그램을 활용해 해야 하는 작업은 수도 없이 많다. 그리고 이런 작업은",김나솔,위키북스,"9,450원 ",2014.05.30.
